marca,km,provincia,precio_usd,carroceria,antiguedad
FIAT,14300,Buenos Aires (A.M.B.A.),18064.52,Sedán,1
BMW,51000,Ciudad Autónoma Buenos Aires,31000.0,Sedán,9
FIAT,197000,Santa Fe,8258.06,Sedán,9
Peugeot,157000,Buenos Aires (A.M.B.A.),4903.23,Hatchback,13
Honda,150000,Santa Fe,10645.16,Sedán,14
Volkswagen,25000,Ciudad Autónoma Buenos Aires,3870.97,Hatchback,2
Toyota,4000,Ciudad Autónoma Buenos Aires,17419.35,Sedán,3
Mercedes,180000,Buenos Aires (A.M.B.A.),23000.0,Furgón,10
Jeep,95000,Ciudad Autónoma Buenos Aires,21900.0,SUV,13
Mercedes,32000,Ciudad Autónoma Buenos Aires,76900.0,Cabriolet,6
Peugeot,110000,Chaco,9677.42,SUV,9
Renault,170000,Buenos Aires,11290.32,SUV,11
Ford,280000,Buenos Aires (A.M.B.A.),4161.29,Hatchback,19
Peugeot,150000,Mendoza,3419.35,Hatchback,29
FIAT,58500,Mendoza,12903.23,Sedán,5
Nissan,200000,Córdoba,14193.55,SUV,13
Peugeot,93000,Ciudad Autónoma Buenos Aires,10645.16,Hatchback,10
Toyota,102000,Corrientes,13870.97,Sedán,11
Ford,47000,Ciudad Autónoma Buenos Aires,14193.55,SUV,8
Peugeot,62000,Córdoba,17419.35,SUV,3
Volkswagen,7000,Ciudad Autónoma Buenos Aires,3225.81,SUV,2
Renault,85000,Ciudad Autónoma Buenos Aires,5483.87,Hatchback,15
Renault,176000,Buenos Aires (A.M.B.A.),7741.94,Sedán,9
Ford,132500,Buenos Aires (A.M.B.A.),3225.81,Pickup,3
Chevrolet,39000,Ciudad Autónoma Buenos Aires,20000.0,SUV,2
Toyota,44000,Tucumán,20000.0,Sedán,3
Audi,122000,Ciudad Autónoma Buenos Aires,20500.0,Hatchback,9
Citroën,1,Ciudad Autónoma Buenos Aires,17419.35,SUV,0
Mercedes,150000,Buenos Aires (A.M.B.A.),20500.0,Minivan,16
Renault,190000,Buenos Aires (A.M.B.A.),9032.26,Furgón,11
Toyota,161000,Ciudad Autónoma Buenos Aires,36900.0,SUV,5
Citroën,217000,Misiones,8387.1,Furgón,11
FIAT,82000,Buenos Aires,12903.23,Sedán,5
Renault,200000,Ciudad Autónoma Buenos Aires,7096.77,Furgón,16
Honda,84000,Ciudad Autónoma Buenos Aires,35500.0,SUV,5
Dodge,120000,Buenos Aires (A.M.B.A.),12903.23,SUV,15
Ford,84000,Ciudad Autónoma Buenos Aires,10258.06,Hatchback,10
Nissan,39000,Córdoba,34193.55,SUV,2
Volkswagen,87000,Ciudad Autónoma Buenos Aires,21000.0,Hatchback,9
Peugeot,160000,Córdoba,10000.0,Furgón,10
Dodge,138000,Entre Ríos,7741.94,SUV,16
Nissan,20291,Buenos Aires,13000.0,Hatchback,9
Peugeot,82000,Buenos Aires (A.M.B.A.),5800.0,Hatchback,17
Suzuki,215000,Buenos Aires,3419.35,Hatchback,20
Toyota,105000,Córdoba,25677.42,Pickup,8
Renault,146000,Córdoba,8903.23,SUV,13
Chevrolet,105000,Buenos Aires,25741.94,Pickup,8
Volkswagen,12000,Ciudad Autónoma Buenos Aires,3870.97,SUV,2
Nissan,100000,Santa Fe,25741.94,Pickup,4
Renault,309000,Ciudad Autónoma Buenos Aires,7741.94,Sedán,8
Zanella,40000,Buenos Aires (A.M.B.A.),14500.0,Camión,2
Honda,183000,Ciudad Autónoma Buenos Aires,5990.0,Sedán,34
Toyota,13000,Buenos Aires (A.M.B.A.),25500.0,Pickup,1
Volkswagen,180000,Jujuy,16129.03,Pickup,9
FIAT,106000,Buenos Aires (A.M.B.A.),6774.19,Sedán,11
Chevrolet,88000,Misiones,15161.29,Sedán,5
Mercedes,74000,Santa Fe,29500.0,Sedán,6
Toyota,190000,Salta,10000.0,Sedán,13
