marca,modelo,anio,km,precio,moneda,ciudad,provincia
Nissan,Kicks,2018,38900,17500.0,USD,Palermo,Ciudad Autónoma Buenos Aires
Volkswagen,Saveiro,2009,202000,5700.0,USD,Ituzaingo,Buenos Aires (A.M.B.A.)
Ford,Ranger,2020,99000,25000000.0,ARS,Río Cuarto,Córdoba
Peugeot,208,2018,150000,10000.0,USD,Presidencia Roque Saenz Pena,Chaco
FIAT,Siena,2006,300000,400000000.0,ARS,La Falda,Córdoba
Ford,Ka +,2017,87000,14800000.0,ARS,Saavedra,Ciudad Autónoma Buenos Aires
Peugeot,2008,2020,97000,22500000.0,ARS,Quilmes Oeste,Buenos Aires (A.M.B.A.)
Volkswagen,Taos,2024,25000,7999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Nivus,2024,14500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
smart,Fortwo,2013,95000,12800.0,USD,Villa Adelina,Buenos Aires (A.M.B.A.)
Volkswagen,Taos,2023,16500,27000.0,USD,Nuñez,Ciudad Autónoma Buenos Aires
DS,3,2017,70000,17900000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Volkswagen,Suran,2015,137000,11500.0,USD,Caballito,Ciudad Autónoma Buenos Aires
Peugeot,208,2019,54000,8600000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Renault,Logan,2022,148000,8000.0,USD,Villa Crespo,Ciudad Autónoma Buenos Aires
FIAT,Cronos,2021,38500,20500000.0,ARS,Sunchales,Santa Fe
Ford,Escort,1997,270000,4300000.0,ARS,Las Heras,Mendoza
Chery,Tiggo 3,2016,151400,13900000.0,ARS,La Plata,Buenos Aires
Volkswagen,Amarok,2015,158000,18500.0,USD,Pilar,Buenos Aires (A.M.B.A.)
Peugeot,208,2019,59000,7400000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Chevrolet,Agile,2013,58000,11990000.0,ARS,Saavedra,Ciudad Autónoma Buenos Aires
Hyundai,Creta,2022,22600,21000.0,USD,Villa Del Parque,Ciudad Autónoma Buenos Aires
Peugeot,Partner,2012,267000,10000000.0,ARS,Villa Pueyrredón,Ciudad Autónoma Buenos Aires
FIAT,Cronos,2025,14300,28000000.0,ARS,San Miguel,Buenos Aires (A.M.B.A.)
Renault,9,1995,50000,1450000.0,ARS,Merlo,Buenos Aires (A.M.B.A.)
BMW,Serie 3 Sedán,2017,51000,31000.0,USD,Caballito,Ciudad Autónoma Buenos Aires
FIAT,Grand Siena,2017,197000,12800000.0,ARS,Rosario,Santa Fe
Peugeot,206,2013,157000,7600000.0,ARS,Ituzaingo,Buenos Aires (A.M.B.A.)
Honda,Civic,2012,150000,16500000.0,ARS,Rosario,Santa Fe
Volkswagen,Polo 5P,2024,25000,6000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Toyota,Etios Sedán,2023,4000,27000000.0,ARS,Palermo,Ciudad Autónoma Buenos Aires
Mercedes,Sprinter,2016,180000,23000.0,USD,Ituzaingo,Buenos Aires (A.M.B.A.)
Jeep,Grand Cherokee,2013,95000,21900.0,USD,Puerto Madero,Ciudad Autónoma Buenos Aires
Mercedes,Clase SLK,2020,32000,76900.0,USD,Barracas,Ciudad Autónoma Buenos Aires
Peugeot,2008,2017,110000,15000000.0,ARS,Resistencia,Chaco
Renault,Duster,2015,170000,17500000.0,ARS,La Plata,Buenos Aires
Ford,Focus,2007,280000,6450000.0,ARS,Quilmes,Buenos Aires (A.M.B.A.)
Peugeot,306,1997,150000,5300000.0,ARS,Gobernador Benegas,Mendoza
FIAT,Cronos,2021,58500,20000000.0,ARS,Maipu,Mendoza
Nissan,X-Trail,2013,200000,22000000.0,ARS,Villa General Belgrano,Córdoba
Peugeot,208,2016,93000,16500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Toyota,Corolla,2015,102000,21500000.0,ARS,Corrientes,Corrientes
Ford,EcoSport,2018,47000,21999999.0,ARS,Villa Urquiza,Ciudad Autónoma Buenos Aires
Peugeot,3008 SUV,2023,62000,27000000.0,ARS,Río Cuarto,Córdoba
Volkswagen,Taos,2024,7000,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Clio,2011,85000,8500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
